id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O437,906.0,918.0,12.0,2017-10-14 15:06:00,2017-10-14 15:18:00,0,1
O444,20.0,35.0,15.0,2017-10-14 00:20:00,2017-10-14 00:35:00,0,1
O445,35.0,65.0,30.0,2017-10-14 00:35:00,2017-10-14 01:05:00,0,1
O469,1571.0,1586.0,15.0,2017-10-15 02:11:00,2017-10-15 02:26:00,0,1
O483,874.0,882.0,8.0,2017-10-14 14:34:00,2017-10-14 14:42:00,0,1
O493,249.0,279.0,30.0,2017-10-14 04:09:00,2017-10-14 04:39:00,0,1
O495,599.0,607.0,8.0,2017-10-14 09:59:00,2017-10-14 10:07:00,0,1
O496,1223.0,1238.0,15.0,2017-10-14 20:23:00,2017-10-14 20:38:00,0,1
O511,65.0,85.0,20.0,2017-10-14 01:05:00,2017-10-14 01:25:00,0,1
O527,1049.0,1061.0,12.0,2017-10-14 17:29:00,2017-10-14 17:41:00,0,1
O529,70.0,85.0,15.0,2017-10-14 01:10:00,2017-10-14 01:25:00,0,1
O530,1034.0,1049.0,15.0,2017-10-14 17:14:00,2017-10-14 17:29:00,0,1
O540,85.0,100.0,15.0,2017-10-14 01:25:00,2017-10-14 01:40:00,0,1
O543,1299.0,1314.0,15.0,2017-10-14 21:39:00,2017-10-14 21:54:00,0,1
O554,1314.0,1336.0,22.0,2017-10-14 21:54:00,2017-10-14 22:16:00,0,1
O556,1287.0,1299.0,12.0,2017-10-14 21:27:00,2017-10-14 21:39:00,0,1
O560,1133.0,1223.0,90.0,2017-10-14 18:53:00,2017-10-14 20:23:00,0,1
O57,460.0,472.0,12.0,2017-10-14 07:40:00,2017-10-14 07:52:00,0,1
O62,1680.0,1695.0,15.0,2017-10-15 04:00:00,2017-10-15 04:15:00,0,1
O63,1695.0,1707.0,12.0,2017-10-15 04:15:00,2017-10-15 04:27:00,0,1
O7,492.0,512.0,20.0,2017-10-14 08:12:00,2017-10-14 08:32:00,0,1
O70,1238.0,1268.0,30.0,2017-10-14 20:38:00,2017-10-14 21:08:00,0,1
O75,219.0,249.0,30.0,2017-10-14 03:39:00,2017-10-14 04:09:00,0,1
O76,1268.0,1276.0,8.0,2017-10-14 21:08:00,2017-10-14 21:16:00,0,1
O77,279.0,289.0,10.0,2017-10-14 04:39:00,2017-10-14 04:49:00,0,1
O78,1276.0,1287.0,11.0,2017-10-14 21:16:00,2017-10-14 21:27:00,0,1
O79,1441.0,1449.0,8.0,2017-10-15 00:01:00,2017-10-15 00:09:00,0,1
O80,1360.0,1368.0,8.0,2017-10-14 22:40:00,2017-10-14 22:48:00,0,1
O81,62.0,70.0,8.0,2017-10-14 01:02:00,2017-10-14 01:10:00,0,1
O82,472.0,480.0,8.0,2017-10-14 07:52:00,2017-10-14 08:00:00,0,1
O91,5.0,30.0,25.0,2017-10-14 00:05:00,2017-10-14 00:30:00,0,1
O93,1722.0,1737.0,15.0,2017-10-15 04:42:00,2017-10-15 04:57:00,0,1
O99,1079.0,1091.0,12.0,2017-10-14 17:59:00,2017-10-14 18:11:00,0,1
