id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O171,77.0,89.0,12.0,2017-10-14 01:17:00,2017-10-14 01:29:00,0,1
O173,5.0,50.0,45.0,2017-10-14 00:05:00,2017-10-14 00:50:00,0,1
O178,27.0,47.0,20.0,2017-10-14 00:27:00,2017-10-14 00:47:00,0,1
O179,27.0,47.0,20.0,2017-10-14 00:27:00,2017-10-14 00:47:00,0,1
O18,62.0,74.0,12.0,2017-10-14 01:02:00,2017-10-14 01:14:00,0,1
O185,84.0,94.0,10.0,2017-10-14 01:24:00,2017-10-14 01:34:00,0,1
O186,88.0,98.0,10.0,2017-10-14 01:28:00,2017-10-14 01:38:00,0,1
O191,35.0,55.0,20.0,2017-10-14 00:35:00,2017-10-14 00:55:00,0,1
O2001,97.0,102.0,5.0,2017-10-14 01:37:00,2017-10-14 01:42:00,0,1
O2002,102.0,107.0,5.0,2017-10-14 01:42:00,2017-10-14 01:47:00,0,1
O2003,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2004,103.0,108.0,5.0,2017-10-14 01:43:00,2017-10-14 01:48:00,0,1
O2005,96.0,101.0,5.0,2017-10-14 01:36:00,2017-10-14 01:41:00,0,1
O2006,98.0,103.0,5.0,2017-10-14 01:38:00,2017-10-14 01:43:00,0,1
O2007,97.0,102.0,5.0,2017-10-14 01:37:00,2017-10-14 01:42:00,0,1
O2008,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2009,98.0,103.0,5.0,2017-10-14 01:38:00,2017-10-14 01:43:00,0,1
O2010,97.0,102.0,5.0,2017-10-14 01:37:00,2017-10-14 01:42:00,0,1
O2011,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2012,97.0,102.0,5.0,2017-10-14 01:37:00,2017-10-14 01:42:00,0,1
O2013,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2014,103.0,108.0,5.0,2017-10-14 01:43:00,2017-10-14 01:48:00,0,1
O2015,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2016,96.0,101.0,5.0,2017-10-14 01:36:00,2017-10-14 01:41:00,0,1
O2017,104.0,109.0,5.0,2017-10-14 01:44:00,2017-10-14 01:49:00,0,1
O2018,96.0,101.0,5.0,2017-10-14 01:36:00,2017-10-14 01:41:00,0,1
O2019,96.0,101.0,5.0,2017-10-14 01:36:00,2017-10-14 01:41:00,0,1
O2020,96.0,101.0,5.0,2017-10-14 01:36:00,2017-10-14 01:41:00,0,1
O203,62.0,74.0,12.0,2017-10-14 01:02:00,2017-10-14 01:14:00,0,1
